,z,x,y,population_key
782,337,98,96,V2b_Cord1
783,337,96,120,V2b_Cord1
784,337,88,54,V2b_Cord1
785,337,88,43,V2b_Cord1
786,337,84,167,V2b_Cord1
787,337,79,45,V2b_Cord1
788,337,84,86,V2b_Cord1
789,337,82,79,V2b_Cord1
790,337,77,138,V2b_Cord1
791,337,75,134,V2b_Cord1
792,337,79,98,V2b_Cord1
793,337,76,93,V2b_Cord1
794,337,76,96,V2b_Cord1
795,337,70,121,V2b_Cord1
796,337,71,109,V2b_Cord1
797,337,49,73,V2b_Cord1
798,339,115,64,V2b_Cord1
799,339,110,70,V2b_Cord1
800,339,106,33,V2b_Cord1
801,339,105,37,V2b_Cord1
802,339,101,44,V2b_Cord1
803,339,99,69,V2b_Cord1
804,339,119,169,V2b_Cord1
805,339,90,38,V2b_Cord1
806,339,118,170,V2b_Cord1
807,339,89,40,V2b_Cord1
808,339,98,87,V2b_Cord1
809,339,87,58,V2b_Cord1
810,339,82,52,V2b_Cord1
811,339,104,165,V2b_Cord1
812,339,84,73,V2b_Cord1
813,339,80,72,V2b_Cord1
814,339,89,90,V2b_Cord1
815,339,78,73,V2b_Cord1
816,339,87,89,V2b_Cord1
817,339,101,182,V2b_Cord1
