z,x,y
770,65,151
293,110,68
180,76,145
394,62,146
356,121,46
113,104,150
190,81,80
99,71,159
157,88,164
514,74,86
139,73,168
134,108,136
71,116,76
772,76,47
530,83,131
731,66,52
686,72,84
225,98,173
613,105,33
61,109,151
0,0,0
586,105,45
691,70,164
83,78,158
362,93,168
110,118,143
67,71,158
85,90,176
130,115,72
81,84,65
186,69,72
592,81,75
744,78,52
178,118,76
200,122,158
322,87,81
152,95,153
632,74,178
641,105,58
157,113,151
311,102,122
136,87,162
252,122,80
784,98,170
391,70,132
261,83,161
758,67,59
239,101,168
349,72,86
627,71,67
736,97,77
564,86,55
114,93,56
75,92,151
183,58,147
769,91,139
67,95,152
297,56,89
280,77,68
335,107,36
645,64,75
648,82,47
613,73,180
364,81,170
201,76,60
105,103,158
732,64,69
645,75,77
659,67,133
0,82,60
200,73,87
593,90,183
169,124,153
